symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
A,161.0,,,114.89,32636226758.0,0.2066,39.0,0.2254,54.0,0.3328,67.0,0.3637,75.0,0.3946,81.0,0.3562,80.0,0.3043,80.0,0.3041,60.0,0.3154,61.0,0.3267,61.0,20270115.0,35.0,609.0,0.8671982403079461
AA,196.0,,,29.62,7669062754.0,0.3997,60.0,0.3048,48.0,0.5022,76.0,0.5048,76.0,0.5074,77.0,0.5588,81.0,0.4766,83.0,0.4651,74.0,0.4596,71.0,0.4542,69.0,20270115.0,7.0,609.0,0.910459587955626
AAAU,,,,33.37,,0.1797,,0.0716,,0.148,,0.1814,,0.2148,,0.1989,,0.1039,,0.1489,,0.1615,,0.1741,,20251219.0,35.0,217.0,0.8902976846747519
AACT,,,,11.41,705819168.0,0.0408,,0.0302,,,,,,,,0.0351,,0.0363,,,,,,,,,,,
AAL,195.0,,,11.64,7680409693.0,0.3813,56.0,0.2777,33.0,0.3889,54.0,0.3854,52.0,0.382,51.0,0.6301,91.0,0.4734,84.0,0.411,59.0,0.4303,63.0,0.4496,65.0,20271217.0,7.0,945.0,1.1165023352361183
AAMI,181.0,,,44.54,1594322695.0,0.7448,,0.4913,,0.3412,,0.5473,,0.7534,,0.3897,,0.3433,,0.3166,,0.3134,,0.3102,,20260116.0,35.0,245.0,0.5726292709665631
AAOI,161.0,,,21.42,1202218878.0,0.5512,46.0,0.8032,79.0,1.52,96.0,1.5144,96.0,1.5089,96.0,1.3034,95.0,1.0988,96.0,0.9653,86.0,0.9756,87.0,0.9859,85.0,20270115.0,7.0,609.0,0.6442155309033281
AAON,160.0,,,83.38,6784304861.0,0.3226,67.0,0.3274,71.0,0.8186,100.0,0.8114,100.0,0.8043,100.0,0.6476,98.0,0.4927,97.0,0.4887,99.0,0.5026,100.0,0.5164,100.0,20260116.0,35.0,245.0,0.6194232191274341
AAP,161.0,,,57.09,3421152513.0,0.5703,95.0,0.4271,93.0,0.9224,99.0,0.921,99.0,0.9195,99.0,0.9019,100.0,0.5637,99.0,0.4857,94.0,0.5249,95.0,0.5641,97.0,20270115.0,7.0,609.0,0.5699239956568947
AAPB,,,,19.48,,0.4059,,0.5329,,0.6582,,0.5878,,0.5175,,0.7618,,0.5885,,0.4599,,0.5012,,0.5424,,20260116.0,35.0,245.0,0.8526709765226267
