symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days
A,118.0,,,116.12999725341795,,0.2144,42.0,0.2046,43.0,0.2867,51.0,0.2956,54.0,0.3046,57.0,0.3406,76.0,0.2977,79.0,0.3095,63.0,0.3075,57.0,0.3055,50.0,20270115.0,35.0,609.0
AA,153.0,,,28.709999084472656,,0.3136,42.0,0.2611,33.0,0.4236,60.0,0.4494,65.0,0.4752,71.0,0.5504,80.0,0.4751,83.0,0.4708,75.0,0.4813,74.0,0.4918,75.0,20270115.0,7.0,609.0
AAAU,,,,33.35499954223633,,0.153,,0.0834,,0.1933,,0.1814,,0.1694,,0.1933,,0.101,,0.1838,,0.1826,,0.1814,,20251219.0,35.0,217.0
AACT,,,,11.289999961853027,,0.011,,0.04,,,,,,,,0.0321,,0.0337,,,,,,,,,,
AAL,152.0,,,10.899999618530272,,0.5364,81.0,0.387,72.0,0.4684,74.0,0.4636,73.0,0.4589,72.0,0.5987,90.0,0.4688,83.0,0.4912,79.0,0.4978,80.0,0.5044,79.0,20271217.0,7.0,945.0
AAMI,138.0,,,32.36000061035156,,0.2253,,0.2056,,0.2457,,0.3312,,0.4167,,0.0,,0.0,,0.3877,,0.3962,,0.4046,,20260116.0,35.0,245.0
AAOI,118.0,,,22.56999969482422,,1.6144,95.0,1.2532,97.0,1.0162,82.0,0.9955,79.0,0.9748,77.0,1.3818,95.0,1.1273,96.0,0.9919,88.0,0.9996,89.0,1.0073,87.0,20270115.0,7.0,609.0
AAON,117.0,,,72.44000244140625,,0.2,24.0,0.3731,84.0,0.4354,84.0,0.454,85.0,0.4725,89.0,0.6702,99.0,0.495,97.0,0.5224,100.0,0.5198,100.0,0.5173,100.0,20260116.0,35.0,245.0
AAP,118.0,,,51.93000030517578,,0.4693,91.0,0.3715,87.0,0.4382,85.0,0.4354,84.0,0.4326,83.0,0.8659,100.0,0.5262,98.0,0.5338,97.0,0.5266,95.0,0.5193,94.0,20270115.0,7.0,609.0
AAPB,,,,19.46999931335449,,0.4118,,0.3121,,0.4583,,0.4678,,0.4773,,0.7955,,0.6004,,0.4812,,0.5382,,0.5953,,20260116.0,35.0,245.0
AAPD,,,,17.950000762939453,,0.2101,,0.1596,,0.2503,,,,,,0.4131,,0.3148,,0.2277,,,,,,20260116.0,35.0,245.0
AAPL,145.0,,,201.5,,0.2043,35.0,0.1651,27.0,0.2322,31.0,0.2305,30.0,0.2288,30.0,0.4031,84.0,0.3164,73.0,0.2786,32.0,0.2972,37.0,0.3159,46.0,20271217.0,7.0,945.0
AAPU,,,,21.299999237060547,,0.4092,,0.3237,,0.4099,,0.464,,0.5182,,0.7936,,0.6165,,0.4592,,0.5008,,0.5425,,20260116.0,35.0,245.0
AAPW,,,,35.400001525878906,,0.2425,,0.1598,,,,,,0.4032,,0.0,,0.0,,,,,,0.6271,,20251219.0,35.0,217.0
AAPX,,,,18.36000061035156,,0.4155,,0.3052,,0.4904,,0.5283,,0.5662,,0.8272,,0.5959,,0.4774,,0.532,,0.5867,,20251219.0,35.0,217.0
AAPY,,,,21.040000915527344,,0.2426,,0.1409,,,,,,0.3405,,0.3499,,0.2028,,,,,,0.3487,,20260116.0,35.0,245.0
AAT,140.0,,,20.229999542236328,,0.1842,44.0,0.2173,61.0,,,,,0.2809,56.0,0.2992,79.0,0.2738,82.0,,,,,0.5889,100.0,20260116.0,35.0,245.0
AAXJ,,,,80.20999908447266,,0.1632,54.0,0.0802,36.0,0.1099,5.0,0.127,7.0,0.144,15.0,0.2223,81.0,0.1322,87.0,0.1528,26.0,0.1678,18.0,0.1829,16.0,20251219.0,35.0,217.0
AB,138.0,,,39.900001525878906,,0.1938,31.0,0.1814,17.0,0.2359,32.0,0.2234,17.0,0.2109,9.0,0.3466,75.0,0.2961,63.0,0.158,12.0,0.2311,20.0,0.3042,42.0,20260116.0,35.0,245.0
ABAT,222.0,,,1.2300000190734863,,0.4479,35.0,0.5671,51.0,1.2575,,1.1448,,1.0321,,1.4405,90.0,1.3185,100.0,1.0549,,1.0435,,1.0321,,20251219.0,35.0,217.0
ABBV,144.0,,,183.7599945068359,,0.1737,43.0,0.2091,57.0,0.2378,63.0,0.237,59.0,0.2362,56.0,0.2876,74.0,0.2824,85.0,0.2827,93.0,0.2861,86.0,0.2894,47.0,20270115.0,7.0,609.0
ABCB,145.0,,,62.5,,0.2753,59.0,0.1949,17.0,0.267,25.0,0.3685,60.0,0.47,86.0,0.3312,71.0,0.2772,48.0,0.2684,32.0,0.277,32.0,0.2855,35.0,20260116.0,35.0,245.0
ABCL,117.0,,,3.3299999237060547,,0.7456,79.0,0.8351,92.0,0.9647,85.0,1.0209,,1.0771,,0.7665,93.0,0.7079,85.0,1.0774,89.0,0.8958,,0.7143,,20260116.0,35.0,245.0
ABEO,96.0,,,5.809999942779541,,0.2186,2.0,0.4285,5.0,0.7577,21.0,0.7091,10.0,0.6606,5.0,0.6374,16.0,0.6701,14.0,1.8462,91.0,1.2925,76.0,0.7387,5.0,20251219.0,35.0,217.0
ABEV,118.0,,,2.4200000762939453,,0.1439,8.0,0.1738,15.0,0.2409,14.0,0.2879,21.0,0.3349,23.0,0.2887,43.0,0.2532,52.0,0.2152,11.0,0.2803,18.0,0.3454,22.0,20270115.0,35.0,609.0
ABFL,,,,69.18000030517578,,0.1438,,0.0771,,0.1322,,0.1594,,0.1865,,0.24,,0.151,,0.1433,,0.1726,,0.2019,,20251219.0,35.0,217.0
ABG,145.0,,,239.44000244140625,,0.3349,51.0,0.1994,8.0,0.3098,27.0,0.3051,24.0,0.3003,22.0,0.3962,57.0,0.3564,57.0,0.3595,45.0,0.3622,44.0,0.365,45.0,20260116.0,35.0,245.0
ABL,229.0,,,5.449999809265137,,0.6953,,0.747,,0.8922,,0.8771,,0.862,,0.5721,,0.6456,,0.4772,,0.6607,,0.8442,,20270115.0,35.0,609.0
ABM,104.0,,,44.68000030517578,,0.2824,66.0,0.2084,43.0,0.3247,61.0,0.3126,56.0,0.3006,52.0,0.343,71.0,0.3204,78.0,0.3472,75.0,0.3389,68.0,0.3307,64.0,20260116.0,35.0,245.0
ABNB,131.0,,,130.52999877929688,,0.2319,15.0,0.199,6.0,0.2597,4.0,0.2776,8.0,0.2956,12.0,0.458,57.0,0.3464,52.0,0.389,20.0,0.3954,18.0,0.4019,15.0,20270115.0,7.0,609.0
ABNY,,,,11.739999771118164,,0.2019,,0.1985,,0.2442,,0.514,,0.7839,,0.3736,,0.2545,,0.2442,,0.514,,0.7839,,20260116.0,35.0,245.0
ABOS,224.0,,,1.2300000190734863,,0.73,,0.7648,,,,,,,,0.7387,,0.8033,,,,,,,,20260116.0,35.0,245.0
ABR,123.0,,,10.4399995803833,,0.2934,72.0,0.2808,75.0,0.2772,48.0,0.2819,35.0,0.2866,32.0,0.4224,89.0,0.4043,94.0,0.2048,55.0,0.4298,77.0,0.6549,87.0,20270115.0,7.0,609.0
ABSI,98.0,,,2.759999990463257,,0.4623,,0.637,,1.045,,1.1186,,1.1921,,0.9462,,0.9456,,1.1705,,1.368,,1.5654,,20251121.0,35.0,189.0
ABT,153.0,,,133.25999450683594,,0.132,28.0,0.1376,28.0,0.1976,54.0,0.1887,47.0,0.1798,38.0,0.2245,70.0,0.2223,82.0,0.2484,73.0,0.243,66.0,0.2376,45.0,20270115.0,7.0,609.0
ABUS,230.0,,,3.4100000858306885,,0.3161,17.0,0.3937,15.0,0.7429,25.0,0.6748,14.0,0.6067,8.0,0.4448,21.0,0.4826,19.0,1.2941,78.0,1.064,65.0,0.834,42.0,20270115.0,35.0,609.0
ACA,117.0,,,86.83000183105469,,0.2958,53.0,0.2547,39.0,0.3207,28.0,0.3279,26.0,0.3351,31.0,0.374,65.0,0.3204,56.0,0.3144,22.0,0.3128,18.0,0.3113,17.0,20251219.0,35.0,217.0
ACAD,118.0,,,22.479999542236328,,0.3001,18.0,0.3368,16.0,0.4362,9.0,0.5123,20.0,0.5884,36.0,0.5564,28.0,0.507,40.0,0.4899,13.0,0.4763,8.0,0.4627,5.0,20251219.0,35.0,217.0
ACB,139.0,,,3.910000085830689,,1.4767,93.0,0.7536,69.0,0.726,26.0,0.7373,24.0,0.7487,24.0,0.8861,50.0,0.6519,40.0,0.9447,72.0,0.8034,24.0,0.6622,1.0,20270115.0,35.0,609.0
ACCO,124.0,,,3.4600000381469727,,0.3307,57.0,0.2932,48.0,,,,,,,0.4853,89.0,0.3818,84.0,,,,,,,20251219.0,35.0,217.0
ACDC,110.0,,,8.25,,1.2058,,0.9565,,0.7979,,0.8676,,0.9372,,1.0087,,0.874,,0.7113,,0.8088,,0.9062,,20251121.0,35.0,189.0
ACEL,237.0,,,11.5,,0.2884,43.0,0.2267,23.0,0.3226,8.0,0.3294,,0.3363,6.0,0.3213,24.0,0.2916,34.0,0.3238,8.0,0.33,,0.3363,5.0,20260116.0,35.0,245.0
ACES,,,,24.96999931335449,,0.3701,63.0,0.1905,11.0,0.3663,47.0,0.3903,52.0,0.4144,61.0,0.3409,34.0,0.2689,44.0,0.2726,15.0,0.2968,14.0,0.3211,19.0,20251219.0,35.0,217.0
ACET,110.0,,,0.6348000168800354,,0.4202,50.0,0.6615,75.0,,,,,,,1.0254,87.0,0.8831,92.0,,,,,,,20260116.0,35.0,245.0
ACGL,134.0,,,91.11000061035156,,0.2107,68.0,0.1811,57.0,0.2622,74.0,0.2492,68.0,0.2363,61.0,0.2809,87.0,0.2434,85.0,0.2527,71.0,0.2528,69.0,0.253,68.0,20251219.0,35.0,217.0
ACHC,117.0,,,20.850000381469727,,0.3966,76.0,0.4209,82.0,0.7791,98.0,0.7777,98.0,0.7764,97.0,0.6274,95.0,0.488,88.0,0.6869,100.0,0.6898,100.0,0.6928,100.0,20260116.0,35.0,245.0
