symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
ABG,224.0,,,247.01,4856364698.0,0.2415,26.0,0.2549,26.0,0.3731,54.0,0.3502,43.0,0.3273,33.0,0.3881,56.0,0.3684,61.0,0.3498,40.0,0.348,38.0,0.3462,37.0,20260116.0,35.0,245.0,0.9937178754997144
ABL,308.0,,,6.31,610982150.0,0.3848,43.0,0.5299,64.0,1.0003,,0.7762,,0.5522,,0.6442,66.0,0.6628,95.0,0.5977,,0.5976,,0.5975,,20270115.0,35.0,609.0,0.7699046637464572
ABM,183.0,,,46.01,2817371636.0,0.1976,40.0,0.4095,91.0,0.2794,49.0,0.4002,79.0,0.5209,89.0,0.3068,62.0,0.289,68.0,0.2855,56.0,0.2908,51.0,0.2962,49.0,20260116.0,35.0,245.0,0.7266366816591704
ABNB,210.0,,,123.41,75556050951.0,0.1822,7.0,0.2212,13.0,0.2917,13.0,0.2908,12.0,0.2899,12.0,0.3936,46.0,0.3163,44.0,0.3546,1.0,0.363,1.0,0.3714,2.0,20270115.0,7.0,609.0,1.2482806052269602
ABNY,,,,10.12,,0.1763,19.0,0.1892,48.0,0.3519,,0.5554,,0.759,,0.332,67.0,0.2284,69.0,0.3519,,0.5554,,0.759,,20260116.0,35.0,245.0,1.0
ABOS,303.0,,,1.35,81774091.0,0.5569,27.0,0.5307,11.0,,,,,,,0.8046,50.0,0.8234,55.0,,,,,,,20260116.0,35.0,245.0,
ABR,202.0,,,11.74,2387164593.0,0.2714,67.0,0.2053,48.0,0.263,41.0,0.2819,34.0,0.3007,37.0,0.3824,80.0,0.3679,87.0,0.2033,54.0,0.346,47.0,0.4887,59.0,20270115.0,7.0,609.0,1.2273855977296917
ABSI,177.0,,,2.38,355864776.0,0.5099,13.0,0.5717,8.0,1.0618,34.0,0.9996,19.0,0.9374,16.0,0.7231,1.0,0.7531,1.0,0.9994,27.0,0.859,5.0,0.7185,1.0,20251121.0,35.0,189.0,0.8593437374949979
ABT,232.0,,,129.36,225145910802.0,0.141,35.0,0.1792,57.0,0.2809,87.0,0.2946,89.0,0.3083,90.0,0.2377,75.0,0.2206,80.0,0.2127,50.0,0.2404,65.0,0.2682,72.0,20270115.0,7.0,609.0,0.8160217243720299
ABTC,,,,8.87,,2.0217,,1.9476,,1.766,,1.8488,,1.9315,,1.2319,,1.4061,,1.3306,,1.7662,,2.2018,,,,,0.9553223712678494
ABUS,309.0,,,4.62,885649395.0,0.4803,46.0,0.7064,68.0,0.7562,28.0,0.7574,23.0,0.7586,27.0,0.4333,19.0,0.4697,18.0,1.5176,83.0,1.489,88.0,1.4605,93.0,20270115.0,35.0,609.0,1.9659360971745448
ABVC,,,,2.68,63092026.0,0.3598,,0.5735,,,,,,6.6734,,1.5443,,1.3536,,,,,,6.6734,,,,,
ACA,196.0,,,96.25,4720571625.0,0.2614,42.0,0.2096,18.0,0.2916,19.0,0.2584,7.0,0.2251,3.0,0.3843,70.0,0.3029,47.0,0.3202,26.0,0.3254,26.0,0.3306,32.0,20251219.0,35.0,217.0,1.2592879256965943
ACAD,197.0,,,23.8,4015345471.0,0.2533,11.0,0.345,18.0,0.4084,6.0,0.4364,8.0,0.4645,12.0,0.5115,22.0,0.4801,32.0,0.4772,10.0,0.4816,9.0,0.4859,10.0,20251219.0,35.0,217.0,1.1035747021081577
ACB,218.0,,,4.97,280075889.0,0.5275,34.0,0.4371,14.0,0.8797,45.0,0.906,43.0,0.9322,45.0,0.6972,35.0,0.5563,17.0,0.7252,34.0,0.7532,18.0,0.7812,13.0,20270115.0,35.0,609.0,0.8313465783664459
ACCO,203.0,,,3.96,356924688.0,0.2188,22.0,0.2093,9.0,0.386,38.0,,,,,0.427,71.0,0.3735,81.0,0.386,47.0,,,,,20251219.0,35.0,217.0,
ACDC,189.0,,,3.88,694636420.0,0.4942,28.0,0.5135,31.0,0.9758,91.0,1.0256,95.0,1.0753,94.0,1.2709,100.0,0.8816,96.0,0.776,89.0,0.8147,91.0,0.8534,86.0,20251121.0,35.0,189.0,0.7943642745709828
ACEL,316.0,,,11.09,936448485.0,0.2993,47.0,0.2395,28.0,0.3284,11.0,0.3326,4.0,0.3369,6.0,0.3782,59.0,0.2954,35.0,0.326,11.0,0.3322,6.0,0.3383,7.0,20260116.0,35.0,245.0,0.9987973541791942
ACES,,,,28.84,,0.228,14.0,0.1459,2.0,0.2333,6.0,0.3023,16.0,0.3713,44.0,0.3384,33.0,0.2501,31.0,0.2602,15.0,0.2682,10.0,0.2763,5.0,20251219.0,35.0,217.0,0.8871981475355606
ACET,189.0,,,0.8,66869453.0,0.4751,56.0,0.7302,80.0,,,,,,,1.0344,88.0,0.8668,91.0,,,,,,,20260116.0,35.0,245.0,
ACGL,213.0,,,90.6,33813731431.0,0.1815,56.0,0.2093,70.0,0.2471,68.0,0.2499,68.0,0.2527,69.0,0.2811,86.0,0.2454,85.0,0.2317,57.0,0.239,61.0,0.2463,64.0,20251219.0,35.0,217.0,0.9563825530212084
