symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
A,174.0,,,119.76,34019624049.0,0.2491,54.0,0.1615,21.0,0.3404,69.0,0.3342,67.0,0.3279,65.0,0.3575,81.0,0.3018,80.0,0.2955,55.0,0.3062,57.0,0.3168,57.0,20270115.0,35.0,609.0,0.9162178336325556
AA,209.0,,,29.83,7724729027.0,0.5983,84.0,0.3739,66.0,0.4468,64.0,0.4493,65.0,0.4518,65.0,0.5712,82.0,0.4786,83.0,0.4387,68.0,0.4538,69.0,0.469,70.0,20270115.0,7.0,609.0,1.0100155797907855
AAAU,,,,32.82,,0.0896,,0.0601,,0.1449,,0.1456,,0.1463,,0.1965,,0.1021,,0.1575,,0.1651,,0.1727,,20251219.0,35.0,217.0,1.1339285714285714
AACT,,,,11.4,705200556.0,0.0213,,0.0305,,,,,,,,0.0353,,0.0373,,,,,,,,,,,
AAL,208.0,,,13.23,8732836483.0,0.7256,93.0,0.4252,78.0,0.4249,63.0,0.4147,60.0,0.4045,57.0,0.6503,93.0,0.4773,85.0,0.4262,62.0,0.429,61.0,0.4318,57.0,20271217.0,7.0,945.0,1.0344827586206895
AAMI,194.0,,,47.71,1708585716.0,0.342,,0.262,,0.3065,,0.3139,,0.3213,,0.3845,,0.3434,,0.281,,0.2829,,0.2848,,20260116.0,35.0,245.0,0.9012424338961452
AAOI,174.0,,,23.26,1450349402.0,1.3467,92.0,1.2049,95.0,1.0181,81.0,1.0097,79.0,1.0013,78.0,1.3182,93.0,1.1125,94.0,0.9828,87.0,0.986,86.0,0.9891,83.0,20270115.0,7.0,609.0,0.9765276814895512
AAON,173.0,,,81.39,6635946921.0,1.3438,100.0,0.9019,100.0,0.4452,84.0,0.4458,83.0,0.4465,84.0,0.7103,100.0,0.534,97.0,0.4721,97.0,0.4766,97.0,0.4812,96.0,20260116.0,35.0,245.0,1.069089277703006
AAP,174.0,,,56.58,3393645763.0,0.6175,95.0,0.5124,97.0,0.5307,93.0,0.5135,92.0,0.4964,90.0,0.904,100.0,0.5709,99.0,0.5436,97.0,0.5346,95.0,0.5257,93.0,20270115.0,7.0,609.0,1.0410905550146057
AAPB,,,,25.06,,0.5329,73.0,0.4799,90.0,0.4232,37.0,0.4356,27.0,0.4479,28.0,0.7813,94.0,0.5949,95.0,0.4122,42.0,0.4802,57.0,0.5481,64.0,20260116.0,35.0,245.0,1.1023875114784207
AAPD,,,,15.57,,0.2792,72.0,0.2511,83.0,0.2173,23.0,0.2785,27.0,0.3397,48.0,0.4064,94.0,0.3129,96.0,0.1446,4.0,0.2234,3.0,0.3021,30.0,20260116.0,35.0,245.0,0.8021543985637342
AAPL,201.0,,,231.11,3540341805624.0,0.2791,57.0,0.2492,59.0,0.2499,37.0,0.2483,37.0,0.2467,36.0,0.3959,81.0,0.3134,71.0,0.2482,21.0,0.2637,22.0,0.2792,25.0,20271217.0,7.0,945.0,1.0620217478856222
AAPU,,,,27.31,,0.5434,80.0,0.4899,90.0,0.4518,51.0,0.4565,42.0,0.4612,39.0,0.7783,94.0,0.611,95.0,0.4064,42.0,0.4515,38.0,0.4966,47.0,20260116.0,35.0,245.0,0.9890470974808324
AAPW,,,,38.05,,0.3708,,0.2908,,,,,,0.9832,,0.4434,,0.3015,,,,,,0.8586,,20251219.0,35.0,217.0,
AAPX,,,,23.54,,0.5179,,0.4777,,0.3471,,0.4584,,0.5696,,0.7831,,0.5925,,0.3857,,0.4581,,0.5305,,20251219.0,35.0,217.0,0.99934554973822
AAPY,,,,23.4,,0.1526,,0.0718,,,,,,0.3042,,0.3311,,0.1875,,,,,,0.3255,,20260116.0,35.0,245.0,
AAT,196.0,,,19.92,1540881804.0,0.2586,69.0,0.1793,34.0,0.2338,45.0,0.2274,43.0,0.2211,27.0,0.2931,76.0,0.2778,82.0,0.2419,54.0,0.2314,50.0,0.2208,28.0,20260116.0,35.0,245.0,1.017590149516271
AAXJ,,,,86.03,,0.1589,52.0,0.0511,5.0,0.1367,19.0,0.1463,19.0,0.1559,25.0,0.2188,77.0,0.128,80.0,0.1476,21.0,0.1708,22.0,0.194,28.0,20251219.0,35.0,217.0,1.1674641148325358
AB,194.0,,,40.01,4422585184.0,0.235,46.0,0.2034,26.0,0.2179,24.0,0.2192,16.0,0.2204,12.0,0.274,44.0,0.2483,33.0,0.1653,15.0,0.2362,23.0,0.307,43.0,20260116.0,35.0,245.0,1.0775547445255471
ABAT,278.0,,,2.36,217893796.0,0.7266,62.0,1.0616,86.0,1.3693,,1.322,,1.2748,,1.043,75.0,1.119,92.0,1.2305,,1.2723,,1.3142,,20251219.0,35.0,217.0,0.9624054462934948
ABBV,200.0,,,206.57,364918312139.0,0.1238,18.0,0.1402,13.0,0.2061,41.0,0.1956,28.0,0.185,19.0,0.2827,70.0,0.2874,86.0,0.1959,27.0,0.2414,21.0,0.2868,43.0,20270115.0,7.0,609.0,1.234151329243354
ABCB,201.0,,,70.5,4835712146.0,0.3144,70.0,0.2006,20.0,0.2111,3.0,0.2079,1.0,0.2047,2.0,0.3377,74.0,0.2715,42.0,0.2401,8.0,0.253,9.0,0.2659,19.0,20260116.0,35.0,245.0,1.216931216931217
ABCL,173.0,,,4.39,1311906719.0,0.6674,66.0,1.1279,98.0,0.7868,53.0,0.8254,66.0,0.8641,76.0,0.8135,94.0,0.7879,94.0,0.8,45.0,0.8107,53.0,0.8214,71.0,20260116.0,35.0,245.0,0.9821904531136418
ABEO,152.0,,,6.83,349400257.0,0.6584,51.0,0.5167,18.0,0.7459,19.0,0.6308,4.0,0.5157,1.0,0.6371,18.0,0.6755,17.0,0.648,10.0,0.6382,1.0,0.6285,1.0,20251219.0,35.0,217.0,1.011731135066582
ABEV,174.0,,,2.16,34291218381.0,0.1149,3.0,0.151,5.0,0.3352,52.0,0.3026,28.0,0.2699,3.0,0.2913,43.0,0.245,48.0,0.2671,33.0,0.2894,22.0,0.3116,10.0,20270115.0,35.0,609.0,0.956378056840714
ABFL,,,,69.22,,0.1191,,0.0612,,0.1098,,0.1368,,0.1638,,0.2428,,0.1509,,0.1291,,0.1504,,0.1718,,20251219.0,35.0,217.0,1.0994152046783623
ABG,201.0,,,244.61,4809179378.0,0.3674,57.0,0.2991,44.0,0.3121,28.0,0.314,27.0,0.316,28.0,0.3992,57.0,0.3787,64.0,0.3422,37.0,0.3468,38.0,0.3513,39.0,20260116.0,35.0,245.0,1.1044585987261146
ABL,285.0,,,6.51,624447659.0,0.6944,88.0,0.6339,81.0,0.579,,0.5849,,0.5908,,0.6477,66.0,0.6672,100.0,0.563,,0.577,,0.5909,,20270115.0,35.0,609.0,0.9864934176782356
ABM,160.0,,,48.4,3013287295.0,0.2584,60.0,0.1862,31.0,0.3818,75.0,0.3802,71.0,0.3787,72.0,0.352,72.0,0.3211,78.0,0.2908,57.0,0.3134,59.0,0.3361,66.0,20260116.0,35.0,245.0,0.8243029984218833
ABNB,187.0,,,127.14,77839688735.0,0.2638,24.0,0.2273,16.0,0.2858,11.0,0.2848,10.0,0.2838,10.0,0.4249,52.0,0.3353,46.0,0.3526,1.0,0.3614,1.0,0.3701,2.0,20270115.0,7.0,609.0,1.2689606741573034
ABNY,,,,10.75,,0.1653,16.0,0.1347,11.0,0.3026,,,,,,0.3673,69.0,0.2474,72.0,0.3026,,,,,,20260116.0,35.0,245.0,
ABOS,280.0,,,1.41,85408492.0,1.081,88.0,0.9557,84.0,,,,,,,0.7952,47.0,0.8265,56.0,,,,,,,20260116.0,35.0,245.0,
ABR,179.0,,,11.49,2396420193.0,0.2368,57.0,0.1749,33.0,0.2924,53.0,0.3042,42.0,0.316,43.0,0.4382,93.0,0.42,95.0,0.184,42.0,0.3562,51.0,0.5285,64.0,20270115.0,7.0,609.0,1.170940170940171
ABSI,154.0,,,2.67,399226443.0,0.5823,21.0,0.857,49.0,0.7602,3.0,0.8038,2.0,0.8475,5.0,0.7898,1.0,0.7982,3.0,0.9044,13.0,0.8736,7.0,0.8429,6.0,20251121.0,35.0,189.0,1.086837521771585
ABT,209.0,,,131.35,228609435826.0,0.241,76.0,0.201,70.0,0.2023,57.0,0.2046,57.0,0.2069,57.0,0.2479,78.0,0.2265,84.0,0.2019,41.0,0.2232,47.0,0.2445,51.0,20270115.0,7.0,609.0,1.0909090909090908
ABUS,286.0,,,3.39,650070493.0,0.1498,2.0,0.2718,2.0,0.5447,6.0,0.5754,6.0,0.606,8.0,0.4242,17.0,0.4734,18.0,0.7817,26.0,0.7817,24.0,0.7817,31.0,20270115.0,35.0,609.0,1.3585331942996175
ABVC,,,,2.96,69683729.0,0.7781,,0.7738,,1.6293,,1.6436,,1.6579,,1.5714,,1.3872,,1.2076,,1.2536,,1.2996,,,,,0.7627159892917985
ACA,173.0,,,97.36,4775256584.0,0.7805,96.0,0.409,86.0,0.2678,12.0,0.2728,10.0,0.2777,13.0,0.4149,77.0,0.3298,62.0,0.3193,26.0,0.3205,24.0,0.3217,24.0,20251219.0,35.0,217.0,1.1748533724340178
ACAD,174.0,,,25.05,4226235471.0,0.328,23.0,0.283,5.0,0.3886,4.0,0.3697,2.0,0.3508,2.0,0.5218,23.0,0.4926,35.0,0.4883,13.0,0.4935,12.0,0.4987,13.0,20251219.0,35.0,217.0,1.3348661076548554
ACB,195.0,,,4.89,274918189.0,1.0817,85.0,0.721,65.0,0.8414,39.0,0.873,39.0,0.9047,41.0,0.7023,35.0,0.5745,21.0,0.683,26.0,0.7336,16.0,0.7843,14.0,20270115.0,35.0,609.0,0.8403207331042383
ACCO,180.0,,,3.9,356550302.0,0.2796,39.0,0.2903,47.0,0.581,87.0,,,,,0.5148,91.0,0.4017,84.0,0.581,93.0,,,,,20251219.0,35.0,217.0,
ACDC,166.0,,,3.81,682104290.0,3.4815,100.0,0.7905,83.0,0.9257,89.0,0.8784,85.0,0.8311,77.0,1.2847,100.0,0.9083,100.0,0.717,74.0,0.7583,77.0,0.7996,81.0,20251121.0,35.0,189.0,0.8632741347905283
ACEL,293.0,,,11.16,947547554.0,0.2154,22.0,0.1932,12.0,0.3515,17.0,0.3345,5.0,0.3175,4.0,0.3999,66.0,0.3153,42.0,0.3515,19.0,0.3345,6.0,0.3175,3.0,20260116.0,35.0,245.0,1.0
ACES,,,,29.07,,0.3127,46.0,0.2381,41.0,0.2436,7.0,0.252,5.0,0.2605,7.0,0.3407,37.0,0.2611,39.0,0.226,6.0,0.2619,8.0,0.2977,11.0,20251219.0,35.0,217.0,1.0392857142857144
ACET,166.0,,,0.7,58069525.0,1.2048,95.0,0.9894,93.0,,,,,,,1.025,87.0,0.8623,90.0,,,,,,,20260116.0,35.0,245.0,
ACGL,190.0,,,91.42,34118877620.0,0.2603,80.0,0.1915,62.0,0.2302,60.0,0.2332,59.0,0.2361,60.0,0.2818,86.0,0.2478,87.0,0.2438,65.0,0.2418,62.0,0.2399,60.0,20251219.0,35.0,217.0,1.036878216123499
ACHC,173.0,,,21.81,2014079297.0,0.4514,83.0,0.4471,85.0,0.5783,87.0,0.5831,88.0,0.5879,88.0,0.6964,97.0,0.5432,93.0,0.6509,98.0,0.648,98.0,0.6452,97.0,20260116.0,35.0,245.0,1.111301663522552
ACHR,173.0,,,9.44,6089045018.0,0.5155,25.0,0.631,36.0,0.6326,14.0,0.6347,10.0,0.6367,9.0,0.9363,63.0,0.8096,57.0,0.7805,44.0,0.782,27.0,0.7836,15.0,20270115.0,7.0,609.0,1.2320781471561366
ACHV,161.0,,,2.64,134917205.0,0.5343,56.0,0.481,27.0,0.9669,30.0,0.9242,19.0,0.8815,19.0,1.0505,98.0,0.8183,87.0,0.6793,9.0,0.7829,10.0,0.8865,16.0,20251219.0,35.0,217.0,0.8471110149318329
ACI,223.0,,,19.45,10889005438.0,0.1794,15.0,0.1829,11.0,0.2568,9.0,0.2513,5.0,0.2459,5.0,0.2978,16.0,0.2412,13.0,0.2011,5.0,0.2475,3.0,0.2939,4.0,20270115.0,7.0,609.0,0.9848786311181852
ACIC,173.0,,,10.85,529103524.0,0.4885,74.0,0.4047,59.0,0.3703,15.0,0.3786,6.0,0.3869,7.0,0.3565,20.0,0.3742,16.0,0.3773,3.0,0.3844,1.0,0.3915,3.0,20251121.0,35.0,189.0,1.0153195985208665
ACIO,,,,42.36,,0.0635,,0.0475,,,,,,0.1329,,0.1441,,0.1153,,,,,,0.1329,,20251121.0,35.0,189.0,
ACIU,159.0,,,2.11,219257668.0,0.4517,35.0,0.5584,36.0,,,,,,,0.6414,28.0,0.7011,36.0,,,,,,,20251121.0,35.0,189.0,
ACIW,173.0,,,47.37,4888204930.0,0.303,60.0,0.2708,48.0,0.2913,27.0,0.2828,22.0,0.2743,19.0,0.4097,75.0,0.3359,66.0,0.3035,35.0,0.3022,33.0,0.301,32.0,20251121.0,35.0,189.0,1.0685997171145687
ACLS,190.0,,,81.11,2548386998.0,0.4908,56.0,0.3366,18.0,0.4388,23.0,0.4442,22.0,0.4496,25.0,0.5899,64.0,0.5066,60.0,0.4869,38.0,0.4897,39.0,0.4925,38.0,20251219.0,35.0,217.0,1.1024313372354797
ACLX,173.0,,,71.57,3969193456.0,0.47,50.0,0.6266,74.0,0.4189,2.0,0.4152,1.0,0.4114,2.0,0.5663,53.0,0.6334,67.0,0.4883,1.0,0.4788,1.0,0.4692,1.0,20251219.0,35.0,217.0,1.153179190751445
ACM,197.0,,,121.3,16065567831.0,0.1659,21.0,0.1444,5.0,0.1871,3.0,0.1919,3.0,0.1967,3.0,0.2523,31.0,0.2409,38.0,0.2248,4.0,0.2384,4.0,0.2519,7.0,20260417.0,35.0,336.0,1.2423137050547162
ACMR,174.0,,,25.09,1610301300.0,0.3253,24.0,0.3538,28.0,0.4897,42.0,0.4952,42.0,0.5006,42.0,0.729,53.0,0.577,64.0,0.5689,45.0,0.5742,44.0,0.5795,44.0,20270115.0,35.0,609.0,1.1595315024232635
