symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
A,206.0,,,126.32,35811773852.0,0.2794,62.0,0.2083,45.0,0.2778,47.0,0.2908,52.0,0.3037,56.0,0.3567,81.0,0.2975,78.0,0.32,68.0,0.3113,59.0,0.3025,47.0,20270115.0,35.0,609.0,1.0704951856946356
AA,241.0,,,32.46,8404371672.0,0.3502,50.0,0.3238,53.0,0.5632,84.0,0.5013,75.0,0.4394,62.0,0.5457,78.0,0.4606,80.0,0.4324,66.0,0.4546,70.0,0.4767,72.0,20270115.0,7.0,609.0,0.9068422102533412
AAAU,,,,36.38,,0.1091,,0.0853,,0.1537,,0.1627,,0.1716,,0.1964,,0.0999,,0.157,,0.1643,,0.1716,,20251219.0,35.0,217.0,1.0098340503995082
AACT,,,,11.08,685405471.0,0.171,,0.5636,,0.7776,,0.9767,,1.1758,,0.0556,,0.1389,,0.7776,,0.9767,,1.1758,,,,,1.0
AAL,240.0,,,12.45,8214868696.0,0.2224,16.0,0.3046,44.0,0.3735,46.0,0.3732,46.0,0.3729,46.0,0.621,90.0,0.4575,80.0,0.4328,64.0,0.4174,57.0,0.4021,43.0,20271217.0,7.0,945.0,1.1184351554126477
AAMI,226.0,,,48.86,1749770091.0,0.3384,,0.2779,,0.5225,,0.4475,,0.3725,,0.4517,,0.3599,,0.3587,,0.3656,,0.3725,,20260116.0,35.0,245.0,0.8169832402234636
AAOI,206.0,,,28.99,1807637981.0,0.6338,55.0,0.6061,54.0,0.8815,70.0,0.87,70.0,0.8584,68.0,1.149,88.0,1.0238,91.0,0.9777,86.0,0.9789,85.0,0.9801,82.0,20270115.0,7.0,609.0,1.1251724137931034
AAON,205.0,,,91.56,7464948496.0,0.7239,98.0,0.4867,95.0,0.5148,92.0,0.5071,90.0,0.4994,90.0,0.6074,94.0,0.5022,96.0,0.5303,100.0,0.526,100.0,0.5218,99.0,20260116.0,35.0,245.0,1.0372707552750935
AAP,206.0,,,58.7,3521116435.0,0.5761,94.0,0.4208,92.0,0.4626,87.0,0.4636,87.0,0.4647,86.0,0.8547,100.0,0.5352,98.0,0.5371,96.0,0.523,94.0,0.509,92.0,20270115.0,7.0,609.0,1.1281276962899052
AAPB,,,,27.95,,0.3452,39.0,0.3417,65.0,0.3948,28.0,0.4518,32.0,0.5088,48.0,0.768,92.0,0.5716,90.0,0.3441,14.0,0.471,53.0,0.598,81.0,20260116.0,35.0,245.0,1.0424966799468791
