symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
A,210.0,,,125.94,35704044469.0,0.163,23.0,0.1806,30.0,0.2929,53.0,0.2906,52.0,0.2884,50.0,0.3562,80.0,0.2965,78.0,0.3157,65.0,0.3078,57.0,0.2999,44.0,20270115.0,35.0,609.0,1.0591878871300755
AA,245.0,,,31.53,8163581394.0,0.2394,24.0,0.3351,56.0,0.5878,87.0,0.5853,87.0,0.5827,86.0,0.5476,78.0,0.4622,80.0,0.4407,68.0,0.4608,71.0,0.4809,72.0,20270115.0,7.0,609.0,0.7872885699641209
AAAU,,,,37.16,,0.1378,,0.0953,,0.1738,,0.169,,0.1643,,0.1976,,0.1004,,0.1685,,0.1716,,0.1747,,20251219.0,35.0,217.0,1.015384615384615
AACT,,,,8.88,549314250.0,1.5206,,1.1334,,1.2275,,1.299,,1.3704,,0.363,,0.2718,,0.9496,,1.0148,,1.0801,,,,,0.7812163202463434
AAL,244.0,,,12.19,8043313051.0,0.1989,10.0,0.2987,42.0,0.4237,63.0,0.4162,61.0,0.4088,57.0,0.62,90.0,0.4564,80.0,0.4399,67.0,0.4394,64.0,0.4389,60.0,20271217.0,7.0,945.0,1.0557424315233062
AAMI,230.0,,,48.44,1734729017.0,0.2721,,0.2887,,0.4268,,0.3999,,0.3729,,0.4521,,0.3618,,0.3659,,0.3694,,0.3729,,20260116.0,35.0,245.0,0.9237309327331834
AAOI,210.0,,,28.06,1749648885.0,0.8808,74.0,0.7861,76.0,1.0064,80.0,0.9974,78.0,0.9884,77.0,1.1459,88.0,1.0254,91.0,1.0293,91.0,1.0123,89.0,0.9953,84.0,20270115.0,7.0,609.0,1.0149388409865652
AAON,209.0,,,94.26,7685081694.0,0.6508,97.0,0.4919,95.0,0.5444,93.0,0.512,91.0,0.4795,88.0,0.6061,94.0,0.5024,96.0,0.5253,100.0,0.5292,100.0,0.5331,100.0,20260116.0,35.0,245.0,1.03359375
AAP,210.0,,,60.11,3605695201.0,0.4846,90.0,0.4388,93.0,0.4975,91.0,0.5078,91.0,0.518,92.0,0.8541,100.0,0.5362,98.0,0.5454,97.0,0.533,95.0,0.5207,93.0,20270115.0,7.0,609.0,1.0496258369436786
AAPB,,,,29.93,,0.584,79.0,0.3735,72.0,0.4579,46.0,0.4763,38.0,0.4947,44.0,0.7761,93.0,0.5731,90.0,0.4215,46.0,0.4653,49.0,0.5091,48.0,20260116.0,35.0,245.0,0.976905311778291
