symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
A,240.0,,,148.95,42227387736.0,0.0854,3.0,0.2224,52.0,0.3083,59.0,0.3097,59.0,0.3112,59.0,0.3126,67.0,0.2535,64.0,0.3086,62.0,0.3184,63.0,0.3281,62.0,20270115.0,35.0,609.0,1.028091701646755
AA,275.0,,,39.35,10187000092.0,1.0082,98.0,0.5659,91.0,0.5367,81.0,0.5385,81.0,0.5403,81.0,0.4749,67.0,0.3719,62.0,0.5045,82.0,0.4803,74.0,0.4561,68.0,20270115.0,7.0,609.0,0.8919220055710306
AAAU,,,,40.69,,0.521,,0.2158,,0.2656,,0.2722,,0.2788,,0.2068,,0.1038,,0.2076,,0.2082,,0.2087,,20251219.0,35.0,217.0,0.7648787656135194
AAL,274.0,,,13.73,9059687396.0,0.5484,82.0,0.3836,70.0,0.4585,71.0,0.4622,72.0,0.4659,72.0,0.4683,74.0,0.3602,62.0,0.4329,64.0,0.445,66.0,0.457,67.0,20271217.0,7.0,945.0,0.9627866724361748
AAMI,260.0,,,48.16,1724701725.0,0.311,,0.289,,0.3662,,0.3632,,0.3602,,0.4019,,0.3141,,0.3459,,0.3504,,0.3549,,20260116.0,35.0,245.0,0.9647577092511012
AAOI,240.0,,,32.98,2056429813.0,1.337,92.0,0.9637,88.0,1.187,87.0,1.2258,89.0,1.2646,90.0,1.0466,85.0,0.9544,88.0,1.034,92.0,1.0364,91.0,1.0389,89.0,20270115.0,7.0,609.0,0.8454886604666341
AAON,239.0,,,107.17,8737234968.0,0.5713,95.0,0.4457,93.0,0.5535,94.0,0.593,97.0,0.6325,98.0,0.5755,93.0,0.4643,94.0,0.5164,99.0,0.5449,100.0,0.5734,100.0,20260116.0,35.0,245.0,0.918887015177066
AAP,240.0,,,55.83,3349259461.0,0.3812,82.0,0.4576,94.0,1.0153,100.0,1.0594,100.0,1.1035,100.0,0.8371,100.0,0.4944,95.0,0.5112,94.0,0.5549,97.0,0.5985,98.0,20270115.0,7.0,609.0,0.5237870492731735
AAPB,,,,31.4,,0.5791,78.0,0.3905,76.0,0.5206,63.0,0.535,57.0,0.5495,62.0,0.5012,72.0,0.3859,76.0,0.4672,63.0,0.5026,67.0,0.538,59.0,20260116.0,35.0,245.0,0.9394392523364486
AAPD,,,,13.59,,0.2985,77.0,0.2107,69.0,,,,,,,0.2549,70.0,0.1986,64.0,,,,,,,20260116.0,35.0,245.0,
AAPL,267.0,,,262.38,3893821600663.0,0.2867,59.0,0.2093,45.0,0.3171,59.0,0.3158,57.0,0.3146,57.0,0.2513,34.0,0.2031,31.0,0.2696,30.0,0.2806,28.0,0.2916,33.0,20271217.0,7.0,945.0,0.8885370487650411
AAPU,,,,34.01,,0.5765,83.0,0.4133,76.0,0.5079,65.0,0.5311,63.0,0.5543,66.0,0.4996,80.0,0.3988,74.0,0.4803,80.0,0.5195,79.0,0.5587,74.0,20260116.0,35.0,245.0,0.9781585388815665
AAPW,,,,41.27,,0.3599,,0.2918,,,,,,0.5954,,0.3128,,0.2245,,,,,,0.5892,,20251219.0,35.0,217.0,
AAPX,,,,29.21,,0.5771,,0.3901,,0.5523,,0.5421,,0.5319,,0.5024,,0.3848,,0.4642,,0.5082,,0.5521,,20251219.0,35.0,217.0,0.937465412285556
AAPY,,,,23.99,,0.2314,,0.0966,,0.1836,,0.2851,,0.3865,,0.2057,,0.1215,,0.1836,,0.2851,,0.3865,,20260116.0,35.0,245.0,1.0
AAT,262.0,,,20.05,1550548225.0,0.1526,28.0,0.1679,27.0,0.1973,25.0,,,,,0.2469,59.0,0.2193,56.0,0.2018,32.0,,,,,20260116.0,35.0,245.0,
AAXJ,,,,94.45,,0.1487,46.0,0.0904,51.0,0.1892,63.0,0.198,67.0,0.2068,69.0,0.1478,19.0,0.0788,12.0,0.1614,35.0,0.1841,37.0,0.2068,43.0,20251219.0,35.0,217.0,0.9297979797979798
AB,260.0,,,39.72,4390541492.0,0.1752,24.0,0.1656,10.0,,,,,0.4077,79.0,0.1917,6.0,0.1917,4.0,,,,,0.3213,50.0,20260116.0,35.0,245.0,
ABAT,344.0,,,5.93,700608274.0,3.7657,100.0,2.03,99.0,1.525,,1.7046,,1.8842,,1.5114,91.0,1.27,94.0,1.4212,,1.42,,1.4189,,20251219.0,35.0,217.0,0.8330400093863664
ABBV,266.0,,,227.59,402042171869.0,0.1366,23.0,0.1318,9.0,0.3466,94.0,0.3368,92.0,0.327,88.0,0.2368,47.0,0.2202,57.0,0.2057,35.0,0.2639,50.0,0.3221,71.0,20270115.0,7.0,609.0,0.7835510688836106
ABCB,267.0,,,73.94,5071311709.0,0.452,91.0,0.3349,78.0,0.3332,56.0,0.3276,49.0,0.3219,52.0,0.2586,37.0,0.22,6.0,0.2998,52.0,0.2988,45.0,0.2977,44.0,20260116.0,35.0,245.0,0.912087912087912
ABCL,239.0,,,5.84,1746678314.0,0.8538,86.0,0.6471,67.0,1.0438,90.0,1.0607,94.0,1.0776,96.0,0.7861,92.0,0.7669,93.0,1.0065,83.0,0.9486,87.0,0.8907,89.0,20260116.0,35.0,245.0,0.8943150749505044
ABEO,218.0,,,5.53,283826706.0,0.2975,6.0,0.4386,7.0,1.912,88.0,1.3993,73.0,0.8866,30.0,0.5911,10.0,0.5952,10.0,1.5227,85.0,1.2046,70.0,0.8866,37.0,20251219.0,35.0,217.0,0.8608590009290359
ABEV,240.0,,,2.21,35504975658.0,0.2465,42.0,0.221,42.0,0.2466,18.0,0.3654,54.0,0.4841,81.0,0.2256,7.0,0.2112,25.0,0.2466,25.0,0.3654,50.0,0.4841,72.0,20270115.0,35.0,609.0,1.0
ABFL,,,,72.73,,0.1284,,0.1094,,0.1229,,0.138,,0.1532,,0.1327,,0.1358,,0.1484,,0.1687,,0.189,,20251219.0,35.0,217.0,1.2224637681159418
ABG,267.0,,,242.87,4774979055.0,0.2882,40.0,0.2809,37.0,0.3954,62.0,0.3938,61.0,0.3921,61.0,0.3351,40.0,0.3046,36.0,0.3471,39.0,0.3505,39.0,0.3538,40.0,20260116.0,35.0,245.0,0.8900457084814627
ABL,351.0,,,5.82,558261854.0,0.6722,86.0,0.7076,84.0,0.7446,,0.7244,,0.7042,,0.6199,53.0,0.6302,56.0,0.6424,,0.6167,,0.5911,,20270115.0,35.0,609.0,0.8513252346769741
ABM,226.0,,,45.88,2809594769.0,0.1308,16.0,0.1281,5.0,0.321,60.0,0.3263,57.0,0.3316,60.0,0.2554,43.0,0.2395,43.0,0.306,64.0,0.3229,64.0,0.3398,68.0,20260116.0,35.0,245.0,0.9895801409745634
ABNB,253.0,,,128.17,78562671421.0,0.1988,10.0,0.2396,19.0,0.4221,51.0,0.4275,52.0,0.4329,54.0,0.281,11.0,0.2348,15.0,0.3728,11.0,0.379,7.0,0.3853,7.0,20270115.0,7.0,609.0,0.8865497076023392
ABNY,,,,9.83,,0.2846,62.0,0.1565,23.0,,,,,,,0.2509,45.0,0.1871,55.0,,,,,,,20260116.0,35.0,245.0,
ABOS,346.0,,,2.29,138410281.0,1.2031,91.0,0.9648,85.0,,,,,,,0.8488,56.0,0.8151,50.0,,,,,,,20260116.0,35.0,245.0,
ABR,245.0,,,11.78,2455837506.0,0.2028,48.0,0.2701,70.0,0.3461,68.0,0.3418,56.0,0.3375,51.0,0.3326,67.0,0.3118,67.0,0.1655,32.0,0.3668,56.0,0.5682,71.0,20270115.0,7.0,609.0,1.073142188414277
ABSI,220.0,,,4.43,662385301.0,1.7983,98.0,1.0435,75.0,1.2975,64.0,1.212,49.0,1.1264,41.0,0.829,4.0,0.7594,1.0,1.0558,36.0,1.3607,73.0,1.6656,92.0,20251121.0,35.0,189.0,1.1226897689768978
ABT,275.0,,,127.3,224383868989.0,0.2023,64.0,0.2382,82.0,0.1872,47.0,0.1851,44.0,0.183,41.0,0.2142,62.0,0.1969,66.0,0.2026,41.0,0.2338,57.0,0.265,69.0,20270115.0,7.0,609.0,1.2631010264721774
ABTC,,,,5.43,4933633444.0,1.3048,,0.8717,,1.128,,1.4447,,1.7614,,0.0,,0.0,,0.7617,,0.9912,,1.2208,,,,,0.6860939987540665
ABUS,352.0,,,4.34,832930790.0,0.4974,49.0,0.488,33.0,0.6593,16.0,1.1367,77.0,1.6141,95.0,0.4145,15.0,0.4418,17.0,1.7165,88.0,1.9226,97.0,2.1287,99.0,20270115.0,35.0,609.0,1.691387349344594
ABVC,,,,2.94,69330670.0,0.4404,,0.4187,,,,,,,,1.3482,,1.0898,,,,,,,,,,,
ABVE,,,,4.78,244441079.0,2.2949,,1.8895,,2.8851,,2.9798,,3.0744,,3.4613,,2.6362,,1.763,,2.1724,,2.5818,,,,,0.7290422175984966
ABVX,,,,92.21,7176604458.0,0.1808,,0.381,,0.4631,,0.4576,,0.4522,,2.7966,,0.586,,0.8376,,0.8296,,0.8217,,,,,1.812937062937063
ACA,239.0,,,94.5,4634498527.0,0.2045,22.0,0.2259,27.0,0.4577,78.0,0.4494,78.0,0.4412,74.0,0.3222,33.0,0.2485,18.0,0.3761,73.0,0.373,72.0,0.37,67.0,20251219.0,35.0,217.0,0.8299955496217178
ACAD,240.0,,,21.67,3655993820.0,0.5496,62.0,0.4473,43.0,0.4046,6.0,0.5781,34.0,0.7516,64.0,0.5211,23.0,0.4598,27.0,0.5099,17.0,0.5141,17.0,0.5183,17.0,20251219.0,35.0,217.0,0.8892925099463761
ACB,261.0,,,5.16,290263717.0,0.499,28.0,0.5702,37.0,1.2755,80.0,1.1556,71.0,1.0356,57.0,0.785,40.0,0.5493,16.0,0.7433,38.0,0.8616,40.0,0.9798,55.0,20270115.0,35.0,609.0,0.7455867082035307
ACCO,246.0,,,4.15,373671457.0,0.1624,8.0,0.1961,5.0,,,,,,,0.3663,47.0,0.3123,44.0,,,,,,,20251219.0,35.0,217.0,
ACDC,232.0,,,4.36,788598382.0,0.9816,89.0,0.6983,73.0,0.9094,88.0,0.9472,91.0,0.9849,91.0,1.12,100.0,0.7676,88.0,0.8093,93.0,0.9142,99.0,1.0192,99.0,20251121.0,35.0,189.0,0.9651604729729728
ACEL,359.0,,,10.5,885084921.0,0.1686,9.0,0.1872,11.0,0.4762,48.0,0.5414,57.0,0.6065,70.0,0.3601,41.0,0.2634,17.0,0.4762,56.0,0.5414,66.0,0.6065,76.0,20260116.0,35.0,245.0,1.0
ACES,,,,35.78,,0.4288,77.0,0.2834,60.0,0.2547,10.0,0.2806,10.0,0.3066,19.0,0.3106,17.0,0.2119,7.0,0.2481,12.0,0.2758,12.0,0.3035,13.0,20251219.0,35.0,217.0,0.982893799002138
ACET,232.0,,,0.88,135293316.0,0.7267,79.0,0.8309,88.0,,,,,,,0.984,83.0,0.8645,90.0,,,,,,,20260116.0,35.0,245.0,
ACGL,256.0,,,87.05,32488827819.0,0.2922,85.0,0.2102,70.0,0.3071,85.0,0.3141,86.0,0.3211,87.0,0.2336,70.0,0.208,62.0,0.283,85.0,0.276,82.0,0.269,78.0,20251219.0,35.0,217.0,0.8787010506208215
ACHC,239.0,,,23.53,2173377029.0,0.1589,10.0,0.3043,47.0,0.6781,94.0,0.8093,98.0,0.9405,99.0,0.5748,93.0,0.4974,89.0,0.5987,96.0,0.6206,97.0,0.6426,97.0,20260116.0,35.0,245.0,0.7668355368837267
ACHR,239.0,,,11.31,7321483673.0,0.8225,62.0,0.987,85.0,0.8322,52.0,0.8512,47.0,0.8702,49.0,0.8599,51.0,0.6966,35.0,0.9117,87.0,0.9184,83.0,0.9252,75.0,20270115.0,7.0,609.0,1.0789473684210529
ACHV,227.0,,,4.83,246836992.0,2.0738,99.0,1.1665,96.0,1.1135,50.0,0.8744,14.0,0.6352,3.0,1.1291,100.0,0.7933,85.0,1.0624,41.0,1.4838,78.0,1.9053,93.0,20251219.0,35.0,217.0,1.6969350411710888
ACI,289.0,,,18.91,10384659232.0,0.2452,24.0,0.2388,20.0,0.2755,10.0,0.2778,7.0,0.2801,7.0,0.2863,14.0,0.2111,12.0,0.3049,15.0,0.3016,10.0,0.2983,5.0,20270115.0,7.0,609.0,1.085673146148308
ACIC,239.0,,,11.87,578844129.0,0.2798,43.0,0.2656,27.0,0.6131,62.0,0.5628,45.0,0.5124,28.0,0.3355,12.0,0.3052,12.0,0.489,27.0,0.472,12.0,0.455,12.0,20251121.0,35.0,189.0,0.8386638237384506
ACIO,,,,43.97,,0.0646,,0.0735,,,,,,,,0.0796,,0.0738,,,,,,,,20251121.0,35.0,189.0,
ACIU,225.0,,,3.02,303610789.0,0.6002,57.0,0.7614,73.0,2.1652,97.0,2.2441,98.0,2.323,98.0,0.7843,57.0,0.7784,63.0,2.7899,100.0,2.5564,100.0,2.323,100.0,20251121.0,35.0,189.0,1.139164921349316
ACIW,239.0,,,50.65,5226678554.0,0.3492,71.0,0.3326,68.0,0.3362,46.0,0.3822,59.0,0.4283,72.0,0.3187,49.0,0.2637,27.0,0.383,75.0,0.37,71.0,0.3571,65.0,20251121.0,35.0,189.0,0.968079539508111
ACLS,256.0,,,84.9,2667461262.0,0.3807,34.0,0.3856,31.0,0.5244,55.0,0.5776,69.0,0.6307,80.0,0.4764,40.0,0.4194,24.0,0.5122,51.0,0.5294,57.0,0.5466,63.0,20251219.0,35.0,217.0,0.916551246537396
ACLX,239.0,,,85.62,4748392198.0,0.4965,54.0,0.4668,39.0,0.5032,14.0,0.505,13.0,0.5068,16.0,0.4612,8.0,0.5424,47.0,0.4867,1.0,0.4979,1.0,0.5091,2.0,20251219.0,35.0,217.0,0.985940594059406
