symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
ACI,182.0,,,22.16,12498018669.0,0.1402,10.0,0.1782,10.0,0.3155,14.0,0.3306,15.0,0.3458,19.0,0.2845,14.0,0.2421,13.0,0.1785,2.0,0.2348,1.0,0.2911,3.0,20270115.0,7.0,609.0,0.7102238354506957
AMED,133.0,,,97.67,3205490272.0,0.1753,18.0,0.0815,5.0,0.1361,4.0,0.1815,6.0,0.2269,7.0,0.0878,3.0,0.1005,4.0,0.0445,1.0,0.0865,1.0,0.1286,1.0,20270115.0,35.0,609.0,0.4765840220385675
BK,175.0,,,92.69,66313577724.0,0.1178,13.0,0.1569,28.0,0.326,78.0,0.3237,77.0,0.3214,76.0,0.2928,72.0,0.2561,75.0,0.2002,20.0,0.2334,27.0,0.2667,38.0,20270115.0,7.0,609.0,0.7210379981464319
EFA,,,,89.2,,0.0866,18.0,0.0595,15.0,0.1656,61.0,0.2022,74.0,0.2389,82.0,0.2034,73.0,0.1341,75.0,0.1079,17.0,0.1422,10.0,0.1765,12.0,20270115.0,7.0,609.0,0.7032640949554896
ELV,167.0,,,349.46,78955245965.0,0.807,,0.3379,,0.4866,,0.5154,,0.5442,,0.3663,,0.3058,,0.3121,,0.3396,,0.3671,,20270115.0,35.0,609.0,0.6589057043073342
FAST,173.0,,,42.84,49147759033.0,0.1623,24.0,0.1702,20.0,0.3594,80.0,0.3634,80.0,0.3675,80.0,0.2606,45.0,0.2397,48.0,0.2128,19.0,0.2513,22.0,0.2899,35.0,20270115.0,35.0,609.0,0.6915244909190975
HES,161.0,,,150.23,46461782210.0,0.2664,36.0,0.2401,31.0,0.3838,66.0,0.4102,73.0,0.4366,78.0,0.3417,45.0,0.2725,28.0,0.2164,4.0,0.2651,9.0,0.3138,20.0,20270115.0,7.0,609.0,0.6462701121404193
IYR,,,,94.92,,0.086,15.0,0.1312,46.0,0.3557,91.0,0.3699,91.0,0.3841,92.0,0.2026,69.0,0.1912,73.0,0.1198,27.0,0.1811,37.0,0.2424,47.0,20270115.0,7.0,609.0,0.4895917815625845
NFLX,169.0,,,1275.31,542734987148.0,0.3251,41.0,0.2426,20.0,0.5542,76.0,0.5607,75.0,0.5672,74.0,0.3692,19.0,0.3195,28.0,0.3629,18.0,0.3767,17.0,0.3905,21.0,20271217.0,7.0,945.0,0.6718387729623685
NVS,159.0,,,121.68,243134894557.0,0.1935,68.0,0.1113,57.0,0.3254,95.0,0.29,92.0,0.2545,84.0,0.2334,86.0,0.1591,89.0,0.1721,56.0,0.1997,61.0,0.2273,54.0,20270115.0,35.0,609.0,0.6886206896551724
OZK,174.0,,,51.97,5852809567.0,0.2956,47.0,0.2914,55.0,0.432,75.0,0.4472,75.0,0.4625,74.0,0.3805,57.0,0.3263,64.0,0.2792,24.0,0.265,1.0,0.2509,1.0,20270115.0,35.0,609.0,0.5925760286225403
RF,173.0,,,24.66,22167613268.0,0.1807,30.0,0.2092,40.0,0.3546,67.0,0.3523,66.0,0.35,66.0,0.3363,61.0,0.3087,68.0,0.186,16.0,0.2356,21.0,0.2853,30.0,20270115.0,35.0,609.0,0.6687482259437979
SCHW,169.0,,,91.95,167070384484.0,0.0913,2.0,0.1539,6.0,0.3966,84.0,0.3948,83.0,0.3929,82.0,0.2886,47.0,0.2691,59.0,0.2517,12.0,0.2761,20.0,0.3005,31.0,20270617.0,7.0,762.0,0.6993414387031409
XLB,,,,91.23,,0.165,50.0,0.1369,48.0,0.3161,85.0,0.2405,69.0,0.1649,30.0,0.2399,74.0,0.1925,74.0,0.1763,37.0,0.1715,8.0,0.1667,1.0,20270115.0,7.0,608.0,0.7130977130977132
XLI,7359.0,,,148.86,,0.0833,14.0,0.0867,16.0,0.2302,76.0,0.2572,80.0,0.2841,83.0,0.2355,82.0,0.1898,79.0,0.1686,43.0,0.175,27.0,0.1813,13.0,20270115.0,7.0,608.0,0.6804043545878694
XLRE,,,,41.42,,0.0995,22.0,0.1381,56.0,0.6029,97.0,0.5344,97.0,0.4659,94.0,0.2022,77.0,0.1925,82.0,0.1784,59.0,0.1852,47.0,0.1921,39.0,20270115.0,35.0,608.0,0.3465568862275449
