symbol,next_report_days,next_report_date,current_price,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
EEM,,,54.04,0.1585,39.0,0.1119,49.0,0.204,52.0,0.2022,49.0,0.2005,47.0,0.1391,9.0,0.0814,7.0,0.1561,14.0,0.1871,8.0,0.2181,8.0,20270115.0,7.0,609.0,0.9253214638971315
SGI,92.0,2026-02-18,83.88,0.3295,28.0,0.2786,7.0,0.3736,9.0,0.43,20.0,0.4863,32.0,0.2893,4.0,0.235,6.0,0.3528,6.0,0.3431,3.0,0.3334,1.0,20270115.0,35.0,609.0,0.7979069767441861
