symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
ABNB,174.0,,,129.96,80213004584.0,0.3395,39.0,0.2599,23.0,0.5954,78.0,0.5976,78.0,0.5999,79.0,0.4547,57.0,0.3395,50.0,0.3535,1.0,0.3692,3.0,0.3848,5.0,20270115.0,7.0,609.0,0.6178045515394912
AMED,161.0,,,99.31,3265978097.0,0.1185,10.0,0.1071,7.0,0.1551,5.0,0.1975,6.0,0.2399,8.0,0.0902,3.0,0.1005,4.0,0.0757,2.0,0.112,2.0,0.1482,2.0,20270115.0,35.0,609.0,0.5670886075949367
BIRK,167.0,,,49.71,9141967092.0,0.3634,,0.2671,,0.7303,,0.7856,,0.8408,,0.391,,0.4166,,0.3941,,0.3977,,0.4013,,20270115.0,35.0,609.0,0.5062372708757638
BYD,181.0,,,83.25,6675334650.0,0.1775,12.0,0.1927,11.0,0.2926,17.0,0.2674,10.0,0.2422,6.0,0.3344,34.0,0.2899,34.0,0.2274,1.0,0.2552,1.0,0.283,3.0,20271217.0,35.0,945.0,0.9543754674644724
CART,162.0,,,47.94,12499635925.0,0.3672,,0.2836,,0.543,,0.577,,0.6109,,0.4621,,0.3801,,0.3627,,0.3833,,0.4039,,20270115.0,7.0,609.0,0.6642980935875217
CHRD,162.0,,,106.44,6147421053.0,0.4078,50.0,0.2709,55.0,0.4595,,0.4561,,0.4527,,0.5067,39.0,0.3866,91.0,0.2647,,0.3395,,0.4142,,20261218.0,35.0,581.0,0.7443543082657312
CPAY,182.0,,,318.58,22457786425.0,0.2479,,0.222,,0.4793,,0.4478,,0.4162,,0.4411,,0.3519,,0.273,,0.277,,0.2811,,20270115.0,35.0,609.0,0.6185797230906656
CSX,195.0,,,35.65,66461587126.0,0.1517,18.0,0.2165,55.0,0.2763,56.0,0.268,53.0,0.2598,49.0,0.2566,50.0,0.2269,54.0,0.2072,5.0,0.2005,1.0,0.1937,7.0,20270115.0,7.0,609.0,0.7481343283582089
ERX,,,,51.76,,0.348,20.0,0.2828,9.0,0.3873,13.0,0.4192,18.0,0.451,24.0,0.6164,56.0,0.4842,51.0,0.3237,5.0,0.3978,5.0,0.4718,5.0,20270115.0,35.0,609.0,0.9489503816793892
FLUT,155.0,,,304.48,53611320370.0,0.123,,0.1855,,0.4415,,0.4278,,0.414,,0.3969,,0.3295,,0.3246,,0.3274,,0.3302,,20270115.0,35.0,609.0,0.7653108929406265
K,181.0,,,79.77,27733554325.0,0.0499,5.0,0.0411,3.0,0.071,2.0,0.1459,18.0,0.2208,73.0,0.0567,1.0,0.0541,1.0,0.0709,2.0,0.0887,2.0,0.1064,3.0,20270115.0,35.0,609.0,0.6079506511309116
SGI,,,,74.59,15558353789.0,0.2268,9.0,0.2207,1.0,0.5116,38.0,0.5141,37.0,0.5166,37.0,0.0,1.0,0.0,1.0,0.323,1.0,0.3392,1.0,0.3553,1.0,20270115.0,35.0,609.0,0.6597938144329897
TKO,161.0,,,163.45,13361629279.0,0.1354,,0.2011,,0.477,,0.4757,,0.4744,,0.3474,,0.3289,,0.3093,,0.326,,0.3427,,20270115.0,35.0,609.0,0.6853058650409922
