symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
ABNB,170.0,,,128.02,79015609873.0,0.3057,32.0,0.2606,23.0,0.6001,79.0,0.603,79.0,0.6058,80.0,0.4537,57.0,0.3393,50.0,0.3675,6.0,0.3763,4.0,0.3852,6.0,20270115.0,7.0,609.0,0.6240464344941957
AMED,157.0,,,98.51,3239668887.0,0.1101,9.0,0.0946,6.0,0.1455,5.0,0.1718,5.0,0.198,6.0,0.0897,3.0,0.0995,4.0,0.0468,1.0,0.087,1.0,0.1271,1.0,20270115.0,35.0,609.0,0.5064027939464493
BALL,179.0,,,57.14,15884919830.0,0.1037,,0.1635,,0.3792,,0.3994,,0.4197,,0.2795,,0.2458,,0.2724,,0.2653,,0.2583,,20270115.0,35.0,609.0,0.6642463695543315
CART,158.0,,,47.01,12257152288.0,0.2929,,0.2691,,0.6131,,0.6153,,0.6175,,0.4593,,0.3789,,0.3796,,0.3891,,0.3986,,20270115.0,7.0,609.0,0.6323744514870795
CHRD,158.0,,,105.86,6116802555.0,0.4007,49.0,0.263,54.0,0.441,,0.4603,,0.4796,,0.5069,39.0,0.387,91.0,0.2633,,0.341,,0.4188,,20261218.0,35.0,581.0,0.7408212035628938
CPAY,178.0,,,316.4,22304111330.0,0.199,,0.2631,,0.3906,,0.4,,0.4095,,0.4403,,0.3512,,0.2768,,0.2817,,0.2866,,20270115.0,35.0,609.0,0.7042499999999999
CSX,191.0,,,35.01,65268441912.0,0.1855,32.0,0.2695,74.0,0.3363,76.0,0.3432,77.0,0.3501,80.0,0.2563,50.0,0.227,54.0,0.2176,8.0,0.1956,1.0,0.1735,5.0,20270115.0,7.0,609.0,0.5699300699300699
EWC,,,,45.86,,0.0616,6.0,0.0785,13.0,0.1548,42.0,0.1494,32.0,0.1441,23.0,0.1883,63.0,0.1567,62.0,0.1102,10.0,0.1475,13.0,0.1848,19.0,20271217.0,35.0,945.0,0.9872824631860776
GXO,171.0,,,48.07,5687786574.0,0.3017,,0.2561,,0.4456,,0.4476,,0.4495,,0.5029,,0.3761,,0.3333,,0.3537,,0.3741,,20270115.0,35.0,609.0,0.7902144772117963
INCY,173.0,,,75.59,14760912125.0,0.6569,84.0,0.3976,55.0,0.3203,12.0,0.3254,12.0,0.3306,13.0,0.3883,32.0,0.3456,31.0,0.2614,3.0,0.2621,3.0,0.2628,2.0,20270115.0,35.0,609.0,0.8054701905347265
MTCH,179.0,,,33.6,8244465494.0,0.1844,8.0,0.1972,2.0,0.65,90.0,0.6476,90.0,0.6452,88.0,0.3746,23.0,0.3344,20.0,0.3243,7.0,0.3461,3.0,0.368,1.0,20270115.0,7.0,609.0,0.5344348363187154
SGI,,,,72.19,15057751082.0,0.1633,3.0,0.2176,1.0,0.4912,34.0,0.4972,34.0,0.5031,34.0,0.0,1.0,0.0,1.0,0.3454,2.0,0.3602,2.0,0.375,2.0,20270115.0,35.0,609.0,0.7244569589702334
SKX,177.0,,,63.0,9424989504.0,0.031,1.0,0.027,1.0,0.037,1.0,0.061,1.0,0.085,1.0,0.5504,74.0,0.3752,59.0,0.037,1.0,0.0504,1.0,0.0638,1.0,20270115.0,35.0,609.0,0.8262295081967214
TKO,157.0,,,165.61,13538204187.0,0.1574,,0.2036,,0.3948,,0.4368,,0.4789,,0.348,,0.3288,,0.3092,,0.3272,,0.3451,,20270115.0,35.0,609.0,0.749084249084249
ULS,163.0,,,71.9,14415878981.0,0.2497,,0.1946,,0.5126,,0.5197,,0.5268,,0.3275,,0.3413,,0.3166,,0.3268,,0.337,,20270115.0,35.0,609.0,0.6288243217240714
