symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
ABNB,167.0,,,136.84,84459423565.0,0.2748,25.0,0.2416,18.0,0.6298,83.0,0.5974,78.0,0.565,74.0,0.4503,57.0,0.3398,50.0,0.3567,1.0,0.3678,2.0,0.3789,3.0,20270115.0,7.0,609.0,0.6156678942082356
AMED,154.0,,,97.52,3234592009.0,0.0846,7.0,0.0768,4.0,0.165,5.0,0.1884,6.0,0.2117,6.0,0.0884,3.0,0.0994,4.0,0.0842,3.0,0.1062,1.0,0.1281,1.0,20270115.0,35.0,609.0,0.5636942675159236
BALL,176.0,,,58.78,16306628761.0,0.2009,,0.1741,,0.344,,0.3472,,0.3505,,0.2788,,0.2463,,0.2401,,0.2647,,0.2893,,20270115.0,35.0,609.0,0.7623847926267281
CART,155.0,,,46.77,12499235478.0,0.2576,,0.2445,,0.5096,,0.553,,0.5964,,0.4582,,0.3822,,0.3777,,0.3916,,0.4055,,20270115.0,7.0,609.0,0.708137432188065
CPAY,175.0,,,331.92,23398170275.0,0.2947,,0.2659,,0.3571,,0.3555,,0.354,,0.44,,0.3503,,0.2754,,0.2786,,0.2819,,20270115.0,35.0,609.0,0.7836849507735585
ERX,,,,56.08,,0.2781,11.0,0.236,3.0,0.4513,27.0,0.4574,26.0,0.4634,26.0,0.6207,57.0,0.4872,51.0,0.3342,6.0,0.4,5.0,0.4658,5.0,20270115.0,35.0,609.0,0.8745080891998251
EWC,,,,46.79,,0.0744,11.0,0.0573,3.0,0.1185,15.0,0.1222,11.0,0.1259,12.0,0.1902,64.0,0.159,64.0,0.0533,1.0,0.1179,1.0,0.1825,18.0,20271217.0,35.0,945.0,0.96481178396072
EXEL,169.0,,,36.94,10073833145.0,1.1325,97.0,0.3024,19.0,0.3243,5.0,0.3871,9.0,0.4499,18.0,0.5054,47.0,0.3711,22.0,0.3173,2.0,0.314,1.0,0.3106,1.0,20270115.0,35.0,609.0,0.811159907000775
FYBR,160.0,,,36.5,9134015792.0,0.0357,,0.0518,,0.1594,,0.2435,,0.3276,,0.0389,,0.0505,,0.0684,,0.1118,,0.1552,,20270115.0,35.0,609.0,0.4591375770020534
GEHC,167.0,,,77.72,35586822137.0,0.2684,,0.2223,,0.4913,,0.5034,,0.5155,,0.4385,,0.3138,,0.31,,0.3142,,0.3184,,20270115.0,7.0,609.0,0.6241557409614621
GFS,169.0,,,40.34,22385230199.0,0.238,,0.2575,,0.5079,,0.5138,,0.5198,,0.5159,,0.4424,,0.3413,,0.367,,0.3927,,20270115.0,35.0,609.0,0.7142857142857142
INCY,170.0,,,77.38,14978446068.0,0.5923,79.0,0.3764,49.0,0.3078,10.0,0.2672,4.0,0.2266,2.0,0.385,31.0,0.3447,31.0,0.2531,2.0,0.2552,2.0,0.2574,2.0,20270115.0,35.0,609.0,0.9550898203592814
K,174.0,,,80.14,27803691889.0,0.0429,4.0,0.0312,2.0,0.0687,1.0,0.0988,2.0,0.1288,8.0,0.0562,1.0,0.0537,1.0,0.0613,2.0,0.082,2.0,0.1026,2.0,20270115.0,35.0,609.0,0.8299595141700405
LIN,174.0,,,471.51,221951077837.0,0.1239,11.0,0.1512,19.0,0.2101,38.0,0.2139,35.0,0.2177,39.0,0.22,26.0,0.1985,28.0,0.1688,4.0,0.194,1.0,0.2193,8.0,20270115.0,35.0,609.0,0.9069658719027583
META,182.0,,,700.0,1760031078400.0,0.2158,,0.1871,,0.5038,,0.4994,,0.495,,0.4169,,0.3369,,0.3365,,0.3522,,0.3679,,20271217.0,7.0,945.0,0.7052462955546656
MTCH,176.0,,,34.06,8351137177.0,0.2326,18.0,0.1925,2.0,0.6441,90.0,0.6484,90.0,0.6528,89.0,0.3741,23.0,0.3342,20.0,0.3277,8.0,0.351,4.0,0.3744,2.0,20270115.0,7.0,609.0,0.541332510795805
SGI,,,,73.3,15289280550.0,0.203,6.0,0.1943,1.0,0.448,24.0,0.4236,17.0,0.3992,11.0,0.0,1.0,0.0,1.0,0.33,1.0,0.3414,1.0,0.3528,1.0,20270115.0,35.0,609.0,0.8059490084985835
SKX,174.0,,,63.18,9451918091.0,0.0222,1.0,0.0248,1.0,0.0515,1.0,0.0551,1.0,0.0587,1.0,0.556,75.0,0.3778,59.0,0.0448,1.0,0.0513,1.0,0.0578,1.0,20270115.0,35.0,609.0,0.9310344827586206
SW,168.0,,,48.2,25161026613.0,0.2287,,0.2357,,0.4667,,0.4619,,0.4571,,0.4279,,0.3333,,0.2846,,0.3418,,0.3989,,20270115.0,35.0,609.0,0.7399870101753626
TKO,154.0,,,168.15,13745842299.0,0.1768,,0.1962,,0.418,,0.4112,,0.4045,,0.3484,,0.3308,,0.3088,,0.3245,,0.3402,,20270115.0,35.0,609.0,0.7891536964980544
ULS,160.0,,,72.39,14514123067.0,0.2158,,0.156,,0.4868,,0.5034,,0.5201,,0.3291,,0.3413,,0.3119,,0.3284,,0.345,,20270115.0,35.0,609.0,0.6523639253079063
