symbol,next_report_days,next_report_date,current_price,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
BYD,,,79.45,80.0,0.2876,42.0,0.2952,19.0,0.3227,26.0,0.3502,36.0,0.2561,7.0,0.204,3.0,0.2741,10.0,0.29,10.0,0.3058,10.0,20271217.0,35.0,945.0,0.898667493
SGI,107.0,2026-02-18,79.48,4.0,0.2187,2.0,0.3707,8.0,0.4281,20.0,0.4855,32.0,0.2457,4.0,0.235,6.0,0.3362,4.0,0.3537,5.0,0.3712,5.0,20270115.0,35.0,609.0,0.82620883
