symbol,next_report_days,next_report_date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio,current_price
SGI,110.0,2026-02-18,0.1682,4.0,0.2136,2.0,0.3958,14.0,0.4045,14.0,0.4132,16.0,0.246,4.0,0.2347,6.0,0.3374,4.0,0.3501,4.0,0.3628,3.0,20270115.0,35.0,609.0,0.865512979,79.48
TXNM,111.0,2026-02-19,0.0218,2.0,0.022,2.0,0.1013,,0.1141,,0.1269,11.0,0.1064,2.0,0.097,2.0,0.078,,0.1025,,0.1269,16.0,20270115.0,35.0,609.0,0.898334794,56.9
