symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
ACI,185.0,,,22.31,12653648800.0,0.3086,36.0,0.2155,15.0,0.324,16.0,0.3364,17.0,0.3488,19.0,0.2908,15.0,0.2431,14.0,0.1888,3.0,0.2405,1.0,0.2922,3.0,20270115.0,7.0,609.0,0.714922711058264
AMED,136.0,,,97.35,3194824002.0,0.0938,8.0,0.0778,4.0,0.1298,4.0,0.1599,4.0,0.1901,5.0,0.0866,3.0,0.0995,4.0,0.0683,2.0,0.0985,1.0,0.1287,1.0,20270115.0,35.0,609.0,0.6160100062539088
CFG,176.0,,,47.69,20682888541.0,0.194,27.0,0.1893,19.0,0.4319,88.0,0.4046,83.0,0.3774,75.0,0.3835,81.0,0.3201,82.0,0.2038,7.0,0.2521,17.0,0.3004,40.0,20270115.0,35.0,609.0,0.6230845279288185
ELV,170.0,,,338.24,76421385678.0,0.7139,,0.3133,,0.5199,,0.5311,,0.5423,,0.3656,,0.3049,,0.3093,,0.3411,,0.3729,,20270115.0,35.0,609.0,0.6422519299566937
FAST,176.0,,,45.67,52394445776.0,0.1658,25.0,0.1598,15.0,0.4507,92.0,0.4486,91.0,0.4466,91.0,0.2607,46.0,0.2402,48.0,0.2244,25.0,0.2552,25.0,0.2861,30.0,20270115.0,35.0,609.0,0.5688809629959874
FITB,172.0,,,43.49,29032562435.0,0.1513,22.0,0.1612,20.0,0.3152,68.0,0.3458,73.0,0.3763,78.0,0.3279,64.0,0.282,65.0,0.2038,22.0,0.2432,33.0,0.2826,39.0,20270115.0,35.0,609.0,0.7032967032967034
FROG,149.0,,,40.47,4637261050.0,0.315,23.0,0.3041,13.0,0.5866,60.0,0.6204,68.0,0.6542,73.0,0.4351,25.0,0.3974,40.0,0.3814,6.0,0.3788,6.0,0.3762,3.0,20271217.0,35.0,945.0,0.6105738233397808
FXY,,,,62.48,,0.0745,47.0,0.0337,28.0,0.1228,77.0,0.1184,71.0,0.1141,66.0,0.117,76.0,0.0622,75.0,0.0549,2.0,0.0847,22.0,0.1146,43.0,20270115.0,35.0,609.0,0.7153716216216216
HES,164.0,,,150.8,46996668945.0,0.2677,36.0,0.2358,30.0,0.5,88.0,0.5145,89.0,0.529,90.0,0.3412,45.0,0.2711,28.0,0.2245,7.0,0.2736,12.0,0.3228,23.0,20270115.0,7.0,609.0,0.5317784256559768
INCY,152.0,,,69.07,13368912523.0,0.2776,28.0,0.2097,8.0,0.446,38.0,0.3832,22.0,0.3204,11.0,0.3553,25.0,0.3388,28.0,0.2647,3.0,0.2783,4.0,0.2919,5.0,20270115.0,35.0,609.0,0.7262526096033403
IYR,,,,95.84,,0.0669,6.0,0.1145,32.0,0.281,83.0,0.2799,82.0,0.2788,81.0,0.1982,68.0,0.1907,73.0,0.1225,28.0,0.1854,41.0,0.2483,52.0,20270115.0,7.0,609.0,0.662379421221865
KBR,138.0,,,46.62,6048292181.0,0.1766,18.0,0.1766,11.0,0.3828,69.0,0.4144,76.0,0.446,81.0,0.342,49.0,0.3073,55.0,0.268,9.0,0.3014,20.0,0.3349,36.0,20270115.0,35.0,609.0,0.7273166023166023
KMI,171.0,,,28.19,62670997216.0,0.0924,7.0,0.1707,40.0,0.3023,83.0,0.306,81.0,0.3096,78.0,0.302,81.0,0.275,82.0,0.1535,25.0,0.2108,16.0,0.2682,25.0,20270115.0,7.0,609.0,0.6888888888888889
NFLX,172.0,,,1263.38,537657902165.0,0.214,15.0,0.2202,13.0,0.5671,77.0,0.5747,77.0,0.5822,76.0,0.3658,18.0,0.319,28.0,0.3641,19.0,0.3756,16.0,0.387,19.0,20271217.0,7.0,945.0,0.6535583782843223
RF,176.0,,,24.59,22109182339.0,0.1437,17.0,0.1658,21.0,0.3457,66.0,0.3453,65.0,0.3449,65.0,0.3334,60.0,0.3072,68.0,0.2074,26.0,0.2493,24.0,0.2911,32.0,20270115.0,35.0,609.0,0.7219808861859253
SCHW,172.0,,,92.32,167751748228.0,0.1301,7.0,0.1214,1.0,0.3661,78.0,0.3686,78.0,0.3712,77.0,0.286,45.0,0.2646,57.0,0.2323,2.0,0.2665,11.0,0.3007,31.0,20270617.0,7.0,762.0,0.7230059685295714
XLB,,,,90.88,,0.1415,37.0,0.1016,18.0,0.2349,69.0,0.3296,87.0,0.4243,95.0,0.2407,74.0,0.1923,74.0,0.1727,34.0,0.1756,12.0,0.1786,4.0,20270115.0,7.0,608.0,0.5327669902912622
