symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
AMED,142.0,,,97.47,3198926452.0,0.0588,5.0,0.055,2.0,0.1448,5.0,0.1916,6.0,0.2383,8.0,0.0871,3.0,0.0993,4.0,0.0478,1.0,0.0856,1.0,0.1233,1.0,20270115.0,35.0,609.0,0.4467640918580375
BSX,163.0,,,104.65,154824443083.0,0.1403,14.0,0.174,21.0,0.4029,80.0,0.4278,85.0,0.4526,89.0,0.2691,39.0,0.2564,55.0,0.2617,17.0,0.27,18.0,0.2784,25.0,20270617.0,7.0,762.0,0.6311360448807855
CHRD,143.0,,,105.97,6120276227.0,0.3605,42.0,0.2812,56.0,0.3986,,0.4738,,0.549,,0.5021,39.0,0.3875,91.0,0.2676,,0.3434,,0.4192,,20261218.0,35.0,581.0,0.7247783875052765
CSX,176.0,,,34.5,64809975552.0,0.2734,64.0,0.212,53.0,0.4011,88.0,0.4584,93.0,0.5157,96.0,0.2633,55.0,0.2253,53.0,0.2239,11.0,0.2226,3.0,0.2213,10.0,20270115.0,7.0,609.0,0.4856020942408377
FL,135.0,,,25.12,2397571045.0,0.1582,13.0,0.1397,2.0,0.8227,96.0,0.6722,91.0,0.5218,81.0,1.0613,100.0,0.5022,93.0,0.0806,1.0,0.1923,1.0,0.304,25.0,20270115.0,7.0,609.0,0.2860755727462065
HES,170.0,,,148.97,46426350719.0,0.1968,16.0,0.1886,13.0,0.4688,84.0,0.4688,84.0,0.4688,83.0,0.3416,45.0,0.2714,28.0,0.2068,2.0,0.2578,6.0,0.3088,18.0,20270115.0,7.0,609.0,0.5499146757679181
KBR,144.0,,,47.07,6106673480.0,0.3016,56.0,0.2168,27.0,0.4103,76.0,0.4185,77.0,0.4267,77.0,0.346,52.0,0.3079,55.0,0.2577,7.0,0.2984,18.0,0.3392,38.0,20270115.0,35.0,609.0,0.7130227001194743
KDP,143.0,,,33.89,46029056644.0,0.2106,69.0,0.1851,60.0,0.1896,35.0,0.2464,72.0,0.3031,89.0,0.2092,57.0,0.2091,72.0,0.131,4.0,0.1722,1.0,0.2134,13.0,20270115.0,35.0,609.0,0.6988636363636364
NFLX,178.0,,,1274.17,542249829965.0,0.2597,25.0,0.2304,16.0,0.5375,74.0,0.5288,70.0,0.52,67.0,0.3648,18.0,0.3183,28.0,0.3612,17.0,0.3722,14.0,0.3832,18.0,20271217.0,7.0,945.0,0.7038577912254159
OZK,183.0,,,51.91,5846052273.0,0.2882,45.0,0.2534,36.0,0.7653,96.0,0.7123,95.0,0.6592,93.0,0.3749,54.0,0.3233,63.0,0.2127,1.0,0.2808,4.0,0.3488,21.0,20270115.0,35.0,609.0,0.3942159202583181
PPL,155.0,,,35.61,26325191491.0,0.1442,41.0,0.2691,90.0,0.2287,77.0,0.2271,74.0,0.2255,70.0,0.2,62.0,0.1983,70.0,0.111,16.0,0.1611,14.0,0.2112,37.0,20270115.0,35.0,609.0,0.7093791281373844
SKX,162.0,,,63.05,9432469540.0,0.009,1.0,0.0282,1.0,0.0529,1.0,0.1019,1.0,0.1509,1.0,0.5645,76.0,0.3845,61.0,0.0602,1.0,0.0598,1.0,0.0593,1.0,20270115.0,35.0,609.0,0.5868498527968596
TECK,148.0,,,38.05,18903354075.0,0.2711,17.0,0.2748,30.0,0.768,98.0,0.6386,95.0,0.5093,77.0,0.5006,73.0,0.398,73.0,0.3505,21.0,0.3652,13.0,0.38,11.0,20270115.0,7.0,609.0,0.5718759787034138
XLB,,,,90.01,,0.1619,48.0,0.1258,39.0,0.3087,84.0,0.337,88.0,0.3653,90.0,0.2398,74.0,0.1921,74.0,0.1792,39.0,0.1804,15.0,0.1815,5.0,20270115.0,7.0,608.0,0.5353115727002967
XLC,,,,106.68,,0.1076,20.0,0.0898,9.0,0.2529,56.0,0.2426,50.0,0.2324,47.0,0.2315,68.0,0.1968,76.0,0.1144,1.0,0.1614,1.0,0.2085,5.0,20270115.0,7.0,608.0,0.6652926628194559
XLRE,,,,41.72,,0.1215,35.0,0.1122,32.0,0.3032,84.0,0.2825,79.0,0.2618,73.0,0.1957,73.0,0.1901,82.0,0.1841,63.0,0.195,55.0,0.206,47.0,20270115.0,35.0,608.0,0.6902654867256638
XLU,,,,82.37,,0.1021,28.0,0.1287,47.0,0.4659,99.0,0.3575,97.0,0.2491,86.0,0.1842,77.0,0.1768,77.0,0.1375,46.0,0.1482,14.0,0.1588,6.0,20271217.0,7.0,944.0,0.4145454545454545
