symbol,next_report_days,next_report_date,current_price,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
SGI,84.0,2026-02-18,90.7,0.2789,17.0,0.3219,15.0,0.3181,3.0,0.3415,4.0,0.3648,6.0,0.2849,4.0,0.2386,6.0,0.33,3.0,0.3338,1.0,0.3376,1.0,20270115.0,35.0,609.0,0.9774524158125912
XLC,,,114.46,0.158,46.0,0.1625,66.0,0.1675,22.0,0.1898,28.0,0.212,38.0,0.1299,7.0,0.1078,8.0,0.1695,9.0,0.1906,6.0,0.2116,7.0,20270115.0,7.0,608.0,1.0042149631190729
