symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
ABNB,169.0,,,132.41,81725174531.0,0.2771,25.0,0.2529,20.0,0.6066,80.0,0.6058,80.0,0.6051,79.0,0.4514,57.0,0.3393,50.0,0.3711,8.0,0.3775,5.0,0.3839,5.0,20270115.0,7.0,609.0,0.6231429514691317
AMED,156.0,,,98.6,3242096130.0,0.1112,9.0,0.0897,6.0,0.0985,2.0,0.21,7.0,0.3214,22.0,0.0899,3.0,0.0994,4.0,0.0239,1.0,0.071,1.0,0.118,1.0,20270115.0,35.0,609.0,0.338095238095238
BALL,178.0,,,57.26,15884953298.0,0.105,,0.1472,,0.3751,,0.3724,,0.3698,,0.2795,,0.2458,,0.2788,,0.2753,,0.2718,,20270115.0,35.0,609.0,0.7392588614393125
CART,157.0,,,47.97,12507458652.0,0.281,,0.2592,,0.6303,,0.5901,,0.55,,0.4584,,0.382,,0.3785,,0.3879,,0.3973,,20270115.0,7.0,609.0,0.6573462125063549
CHRD,157.0,,,110.33,6372087190.0,0.3132,32.0,0.2264,48.0,0.4163,,0.4288,,0.4412,,0.5038,39.0,0.3862,91.0,0.2608,,0.3365,,0.4122,,20261218.0,35.0,581.0,0.7847481343283582
CPAY,177.0,,,323.05,22772892009.0,0.3036,,0.2835,,0.3841,,0.3876,,0.3911,,0.4394,,0.3512,,0.2746,,0.2799,,0.2852,,20270115.0,35.0,609.0,0.7221362229102166
CSX,190.0,,,35.54,66256515181.0,0.1637,23.0,0.2648,73.0,0.3161,71.0,0.3299,74.0,0.3437,78.0,0.2559,50.0,0.2277,54.0,0.2039,4.0,0.1965,1.0,0.1891,7.0,20270115.0,7.0,609.0,0.5956350409214913
ERX,,,,53.96,,0.3333,18.0,0.254,5.0,0.5112,42.0,0.5125,40.0,0.5138,37.0,0.6173,56.0,0.4857,51.0,0.3344,6.0,0.3973,5.0,0.4602,5.0,20270115.0,35.0,609.0,0.775219512195122
INCY,172.0,,,74.89,14624219521.0,0.6639,84.0,0.3956,54.0,0.3157,11.0,0.3044,8.0,0.2932,7.0,0.3882,32.0,0.3461,31.0,0.2658,3.0,0.2635,3.0,0.2613,2.0,20270115.0,35.0,609.0,0.8656373193166886
SGI,,,,72.38,15097381148.0,0.1698,3.0,0.1959,1.0,0.4393,22.0,0.4665,26.0,0.4937,32.0,0.0,1.0,0.0,1.0,0.3349,2.0,0.3531,2.0,0.3713,2.0,20270115.0,35.0,609.0,0.7569131832797428
SKX,176.0,,,63.25,9462390256.0,0.0195,1.0,0.023,1.0,0.0496,1.0,0.0631,1.0,0.0766,1.0,0.5528,75.0,0.3763,59.0,0.0496,1.0,0.0539,1.0,0.0582,1.0,20270115.0,35.0,609.0,0.8541996830427893
TKO,156.0,,,168.01,13734397698.0,0.137,,0.1903,,0.4345,,0.4222,,0.41,,0.3477,,0.33,,0.3103,,0.3254,,0.3404,,20270115.0,35.0,609.0,0.7707247749881573
UBER,177.0,,,87.75,183500171712.0,0.2818,25.0,0.2473,10.0,0.6015,80.0,0.5968,79.0,0.5922,79.0,0.4357,46.0,0.3853,48.0,0.391,8.0,0.3962,5.0,0.4015,7.0,20270115.0,7.0,609.0,0.6638739946380697
ULS,162.0,,,73.12,14660488016.0,0.2152,,0.1741,,0.5109,,0.5214,,0.5319,,0.3269,,0.341,,0.2997,,0.3122,,0.3247,,20270115.0,35.0,609.0,0.5987725354813962
