symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
AMED,147.0,,,97.97,3215336252.0,0.0466,3.0,0.0518,1.0,0.1367,4.0,0.1538,4.0,0.1708,4.0,0.0871,3.0,0.0991,4.0,0.0645,1.0,0.0929,1.0,0.1213,1.0,20270115.0,35.0,609.0,0.6040312093628089
BYD,167.0,,,82.26,6696219509.0,0.2228,23.0,0.2035,14.0,0.312,23.0,0.3284,28.0,0.3449,33.0,0.327,32.0,0.2878,32.0,0.2257,1.0,0.2653,2.0,0.305,9.0,20271217.0,35.0,945.0,0.8078562728380023
CARR,162.0,,,76.42,65189466855.0,0.1803,16.0,0.158,5.0,0.2836,45.0,0.2892,46.0,0.2948,47.0,0.3607,96.0,0.2789,76.0,0.2531,8.0,0.2729,6.0,0.2926,12.0,20270115.0,35.0,609.0,0.943637621023513
CSX,181.0,,,35.23,66181316204.0,0.297,70.0,0.2094,51.0,0.4425,92.0,0.5464,97.0,0.6503,98.0,0.2644,55.0,0.2271,54.0,0.2122,6.0,0.2134,1.0,0.2146,9.0,20270115.0,7.0,609.0,0.3905563689604685
ERX,,,,51.93,,0.2531,8.0,0.3169,17.0,0.408,18.0,0.4023,14.0,0.3966,12.0,0.6194,57.0,0.4888,52.0,0.3233,5.0,0.3977,5.0,0.4721,5.0,20270115.0,35.0,609.0,0.9885657469550088
EXEL,162.0,,,44.47,12127325093.0,0.2753,22.0,0.2386,8.0,0.4286,16.0,0.4163,12.0,0.404,11.0,0.4367,33.0,0.372,22.0,0.3293,3.0,0.3382,3.0,0.3472,3.0,20270115.0,35.0,609.0,0.8123949075186164
GEHC,160.0,,,76.49,35023622060.0,0.2819,,0.2252,,0.5246,,0.522,,0.5195,,0.4386,,0.3134,,0.3205,,0.3185,,0.3165,,20270115.0,7.0,609.0,0.6101532567049809
INCY,163.0,,,68.9,13336973295.0,0.293,32.0,0.2275,11.0,0.3062,9.0,0.319,11.0,0.3317,13.0,0.357,25.0,0.3376,28.0,0.263,3.0,0.2616,2.0,0.2603,2.0,20270115.0,35.0,609.0,0.8200626959247649
LIN,167.0,,,472.02,222191137308.0,0.1496,17.0,0.1517,19.0,0.1948,31.0,0.1945,27.0,0.1941,28.0,0.2197,26.0,0.198,28.0,0.1651,4.0,0.1902,1.0,0.2154,7.0,20270115.0,35.0,609.0,0.9778920308483292
META,175.0,,,704.81,1772125000100.0,0.16,,0.1735,,0.5093,,0.5094,,0.5094,,0.4184,,0.342,,0.3365,,0.3537,,0.3709,,20271217.0,7.0,945.0,0.6943462897526502
SGI,,,,74.81,15604242742.0,0.2344,10.0,0.2326,1.0,0.4222,18.0,0.4208,16.0,0.4193,16.0,0.0,1.0,0.0,1.0,0.3284,1.0,0.3424,1.0,0.3563,1.0,20270115.0,35.0,609.0,0.8136882129277566
ULS,153.0,,,70.56,14147209515.0,0.1884,,0.1952,,0.4298,,0.4494,,0.469,,0.3271,,0.3425,,0.3175,,0.3324,,0.3473,,20270115.0,35.0,609.0,0.7396528704939919
VICI,153.0,,,33.45,35346950841.0,0.1809,48.0,0.1482,25.0,0.1843,27.0,0.1911,22.0,0.1979,19.0,0.2005,50.0,0.2048,59.0,0.0807,2.0,0.1567,1.0,0.2326,19.0,20270115.0,35.0,609.0,0.8199895342752487
WMG,167.0,,,31.44,16388635010.0,0.1922,16.0,0.2262,23.0,0.3369,37.0,0.3432,33.0,0.3495,31.0,0.2988,21.0,0.2718,69.0,0.2202,4.0,0.2622,2.0,0.3043,3.0,20270115.0,35.0,608.0,0.763986013986014
